patch_num,patch_size,patch_id,patch_index,patch_location_x,patch_location_y,global_habitat_num,habitat_id,habitat_index,habitat_x_location,habitat_y_location,env_axis1,env_axis2,hab_length,hab_width
64,16,patch14,13,6.0,22.0,1024,h10,10,7,23,0.4372779322483909,0.3968869494274173,10,10
64,16,patch14,13,6.0,22.0,1024,h11,11,7,24,0.4012983108964437,0.3518594218360972,10,10
64,16,patch14,13,6.0,22.0,1024,h12,12,8,21,0.5222071730717912,0.3433723073585556,10,10
64,16,patch14,13,6.0,22.0,1024,h13,13,8,22,0.3354623590337995,0.3731330159712644,10,10
64,16,patch14,13,6.0,22.0,1024,h14,14,8,23,0.3198710700306029,0.3993955249164281,10,10
64,16,patch14,13,6.0,22.0,1024,h15,15,8,24,0.4082435989620757,0.3182553402668758,10,10
64,16,patch15,14,6.0,26.0,1024,h0,0,5,25,0.329979074701769,0.4002384324109448,10,10
64,16,patch15,14,6.0,26.0,1024,h1,1,5,26,0.2821467716116146,0.4345231736098865,10,10
64,16,patch15,14,6.0,26.0,1024,h2,2,5,27,0.3490449881083783,0.4579769925426019,10,10
64,16,patch15,14,6.0,26.0,1024,h3,3,5,28,0.3315951043600774,0.540684923400898,10,10
64,16,patch15,14,6.0,26.0,1024,h4,4,6,25,0.4174285960628523,0.4226184184553814,10,10
64,16,patch15,14,6.0,26.0,1024,h5,5,6,26,0.3792487668173397,0.4853634728498252,10,10
64,16,patch15,14,6.0,26.0,1024,h6,6,6,27,0.3528141003507936,0.4833936256361167,10,10
64,16,patch15,14,6.0,26.0,1024,h7,7,6,28,0.3798480124211053,0.5573945275088421,10,10
64,16,patch15,14,6.0,26.0,1024,h8,8,7,25,0.4252665636916819,0.4006750098347004,10,10
64,16,patch15,14,6.0,26.0,1024,h9,9,7,26,0.5039774718499659,0.4419406557340348,10,10
64,16,patch15,14,6.0,26.0,1024,h10,10,7,27,0.4914863799170303,0.423028510672762,10,10
64,16,patch15,14,6.0,26.0,1024,h11,11,7,28,0.419248709973289,0.4242663199856767,10,10
64,16,patch15,14,6.0,26.0,1024,h12,12,8,25,0.3809358703653441,0.3722903133616891,10,10
64,16,patch15,14,6.0,26.0,1024,h13,13,8,26,0.4521735189106203,0.4187604629588174,10,10
64,16,patch15,14,6.0,26.0,1024,h14,14,8,27,0.5275729445837792,0.4041058864303338,10,10
64,16,patch15,14,6.0,26.0,1024,h15,15,8,28,0.439956847983953,0.3792565301859464,10,10
64,16,patch16,15,6.0,30.0,1024,h0,0,5,29,0.2589522824628619,0.6033954241556514,10,10
64,16,patch16,15,6.0,30.0,1024,h1,1,5,30,0.2932774016087663,0.6399846628684828,10,10
64,16,patch16,15,6.0,30.0,1024,h2,2,5,31,0.2523450241882772,0.6823709113214959,10,10
64,16,patch16,15,6.0,30.0,1024,h3,3,5,32,0.2317019288316784,0.7173012061219048,10,10
64,16,patch16,15,6.0,30.0,1024,h4,4,6,29,0.343727123268378,0.5560785668354034,10,10
64,16,patch16,15,6.0,30.0,1024,h5,5,6,30,0.317153356972725,0.5518670015321114,10,10
64,16,patch16,15,6.0,30.0,1024,h6,6,6,31,0.3096145368821367,0.58437242108021,10,10
64,16,patch16,15,6.0,30.0,1024,h7,7,6,32,0.3230077508867171,0.6558068002957265,10,10
64,16,patch16,15,6.0,30.0,1024,h8,8,7,29,0.4262749061861376,0.4787517326095818,10,10
64,16,patch16,15,6.0,30.0,1024,h9,9,7,30,0.3494955205401024,0.4921028387088053,10,10
64,16,patch16,15,6.0,30.0,1024,h10,10,7,31,0.2904395027493488,0.5111157498690574,10,10
64,16,patch16,15,6.0,30.0,1024,h11,11,7,32,0.3677882860235967,0.5818000509071672,10,10
